AÑO,MESES,PISCO,CALLAO,HUACHO,CHIMBOTE,HUANCHACO,CHICAMA,SAN JOSE,PAITA,NORTE-CENTRO
2000,1,-0.57,-1.49,-0.81,-1.02,NaN,-2.18,-1.98,-0.57,-1.23
2000,2,-1.59,-1.06,-0.42,-1.68,NaN,-1.49,-0.48,0.27,-0.92
2000,3,-1.55,-2.02,-1.31,-2.15,NaN,-2.18,-2.21,-1.12,-1.79
2000,4,-0.69,-1.35,-0.07,-0.4,NaN,-0.47,0.04,1.61,-0.19
2000,5,-0.23,-0.52,-0.05,-0.7,NaN,-0.47,-0.79,-0.51,-0.47
2000,6,0.66,-0.19,0.41,-0.14,NaN,-0.09,-0.51,-0.58,-0.06
2000,7,-0.47,0.23,0.62,0.19,NaN,-0.02,-0.45,-0.53,-0.06
2000,8,-0.94,0.3,0,0.59,NaN,-0.13,-0.45,0.17,-0.07
2000,9,-1.34,-0.36,-0.52,-0.11,NaN,-0.42,-0.38,-0.65,-0.54
2000,10,-1.24,-0.33,-0.43,-0.09,NaN,-0.35,-0.41,-0.23,-0.44
2000,11,0.09,-0.77,-0.43,-0.54,NaN,-0.87,-0.99,-1.54,-0.72
2000,12,-1.44,-1.29,-0.38,-0.61,NaN,-1.35,-1.32,-0.81,-1.03
2001,1,-1.77,-0.44,-1.57,-0.66,NaN,-1.98,-2.13,-1.04,-1.37
2001,2,-0.43,-1.14,-1.02,-1.78,NaN,-2.05,-1.49,0.52,-1.06
2001,3,-1.48,-1.31,-0.96,0.18,NaN,1.08,0.37,2.81,0.1
2001,4,-0.08,0.65,0.58,0.48,NaN,-0.32,-1.09,1.4,0.23
2001,5,-1.09,-0.38,-0.59,-0.86,NaN,-0.82,-1.35,-1,-0.87
2001,6,-0.63,-0.39,-0.43,-0.58,NaN,-0.47,-0.97,-0.99,-0.64
2001,7,-0.56,-0.65,-0.6,-0.4,NaN,-0.66,-0.59,-0.57,-0.58
2001,8,-0.87,-0.46,-0.35,-0.55,NaN,-0.85,-1.11,-0.54,-0.68
2001,9,-0.02,-0.92,-0.83,-0.56,NaN,-0.79,-1.02,-0.72,-0.69
2001,10,-0.41,-1.29,-0.49,-0.95,NaN,-1.2,-1.31,-0.94,-0.94
2001,11,-0.76,-1.52,-1.12,-1.13,NaN,-1.23,-1.41,-1.29,-1.21
2001,12,-1.55,-1.96,-1.12,-1.36,NaN,-1.35,-1.27,0.05,-1.22
2002,1,-0.47,-1.95,-1.1,-0.88,NaN,-1.12,-1.29,-1.79,-1.23
2002,2,0.11,-1.84,-0.57,-0.37,NaN,-0.1,-0.09,1.16,-0.24
2002,3,1.1,2.34,2.81,3.01,NaN,2.2,2.16,2.98,2.37
2002,4,-0.6,1.46,2.03,1.25,NaN,0.48,0.9,2.05,1.08
2002,5,-0.48,0.54,0.51,0.28,NaN,-0.71,0.04,0.44,0.09
2002,6,-0.07,-0.55,-0.83,-1.07,NaN,-1.05,-0.64,-0.55,-0.68
2002,7,-1.21,-0.94,-1.19,-0.69,NaN,-1.04,-0.45,-0.36,-0.84
2002,8,-0.51,-0.38,-0.26,0.25,NaN,-0.34,-0.12,-0.3,-0.24
2002,9,-1.02,-0.08,0,-0.04,NaN,-0.34,-0.52,1.08,-0.13
2002,10,-0.5,0.15,0.38,0.42,NaN,0.81,0.73,1.5,0.5
2002,11,-0.73,0.45,0.84,1.04,NaN,0.96,1.04,1.87,0.78
2002,12,-0.96,1.19,1.43,1.62,NaN,2.19,1.53,1.78,1.25
2003,1,-0.66,2.04,2.08,1.91,NaN,1.37,1.31,0.16,1.17
2003,2,-1.29,0.57,0.42,0.76,NaN,-0.73,-1.25,-1.68,-0.46
2003,3,-0.86,-0.54,-0.64,-0.34,NaN,-1.99,-1.8,-1.68,-1.12
2003,4,-0.63,-1.14,-1.02,-1.14,NaN,-1.45,-1.09,-2.64,-1.3
2003,5,-0.71,-0.44,-0.6,-0.98,NaN,-1.84,-1.52,-1.62,-1.1
2003,6,-0.55,-0.92,-1.54,-1.24,NaN,-1.48,-1.25,-1.67,-1.24
2003,7,-0.19,-0.5,-1.28,-0.95,NaN,-1.22,-1.09,-1.08,-0.9
2003,8,-0.5,-0.99,-0.85,-0.93,NaN,-0.61,-0.76,0.91,-0.53
2003,9,-1.09,-0.21,0.1,-0.13,NaN,0.1,-0.4,0.87,-0.11
2003,10,-1.03,-0.4,0.03,-0.37,NaN,-0.44,-0.22,1.28,-0.16
2003,11,-1.02,0.1,0.74,0.03,NaN,0.07,0.49,1.27,0.24
2003,12,1.04,-0.28,0.04,0.17,NaN,0.42,0.19,0.82,0.34
2004,1,-1.08,-0.45,0.07,0.12,NaN,0.2,0.03,-0.46,-0.22
2004,2,-0.59,-0.57,0.08,0.18,NaN,-1.04,-1.29,-1.23,-0.64
2004,3,-0.25,-1.21,-0.53,-0.92,NaN,-1.82,-1.48,-1.25,-1.07
2004,4,-0.12,-0.62,0.1,-0.76,NaN,-1.11,-0.36,-0.64,-0.5
2004,5,-0.9,-0.86,-0.51,-1.28,NaN,-1.37,-1.06,-1.88,-1.12
2004,6,-1.5,-1.44,-1.09,-1.92,NaN,-1.61,-1.41,-1.75,-1.53
2004,7,-1.72,-1.41,-0.92,-0.8,NaN,-0.74,-0.81,-0.34,-0.96
2004,8,-1.35,-1.18,-0.43,-0.87,NaN,-0.37,-0.49,-0.88,-0.8
2004,9,-1.11,-0.5,-0.04,-0.26,NaN,-0.11,-0.31,1.19,-0.16
2004,10,-0.16,0.08,-0.21,-0.12,NaN,-0.28,-0.17,0.79,-0.01
2004,11,1.17,-0.02,-0.21,0.1,NaN,0.68,0.75,0.56,0.43
2004,12,0.89,-0.45,-0.67,-0.21,NaN,-0.45,-0.46,-1.01,-0.34
2005,1,1.17,-0.04,-0.47,0.7,NaN,0.26,0.16,-0.26,0.22
2005,2,1.23,-0.37,-0.72,-0.43,NaN,-0.74,-1.35,-1.37,-0.54
2005,3,1.29,-0.39,-0.29,-0.75,NaN,-1.31,-1.78,-3.02,-0.89
2005,4,0.94,-1.05,-0.43,-0.99,NaN,-0.84,-0.34,-0.55,-0.47
2005,5,-1.14,0.03,0.57,-0.33,NaN,0.41,0.31,0.56,0.06
2005,6,-0.08,-0.64,-0.63,-0.9,NaN,-0.9,-0.94,-1.05,-0.73
2005,7,-0.77,-0.76,-0.97,-0.68,NaN,-1.01,-1.01,-0.68,-0.84
2005,8,-1.09,-0.6,-0.71,-0.25,NaN,-0.24,-0.43,0.71,-0.37
2005,9,-1.48,-0.62,-0.48,-0.61,NaN,0,-0.46,-0.15,-0.54
2005,10,-0.2,-0.63,-0.26,-0.87,NaN,-0.44,0.22,-0.94,-0.45
2005,11,-0.99,-0.9,-0.19,-1.35,NaN,-0.97,-0.65,0.38,-0.67
2005,12,-2.12,-0.91,-0.14,-1.14,NaN,-1.09,-0.38,-0.08,-0.84
2006,1,-1.5,-1.59,-0.98,-1.11,NaN,-1.43,-0.65,0.35,-0.99
2006,2,-0.89,-1.06,-0.33,-0.57,NaN,0.32,0.73,1.53,-0.04
2006,3,-1.69,-1.97,-0.94,-1.29,NaN,-1.58,-0.54,-1.28,-1.33
2006,4,-2.37,-2.58,-1.12,-1.56,NaN,-1.89,-1.24,-2.41,-1.88
2006,5,-0.51,-1.44,-0.42,-1.61,NaN,-0.98,0.01,-0.32,-0.75
2006,6,-0.6,-0.39,0.37,0.04,NaN,-0.12,0.88,-0.16,0
2006,7,-0.45,0.56,1.93,1.3,NaN,0.39,0.62,0.9,0.75
2006,8,0.02,-0.05,0.3,0.86,NaN,0.54,1.33,1.12,0.59
2006,9,-0.44,-0.04,NaN,0.32,NaN,0.19,0.8,0.78,0.27
2006,10,-1.33,-0.16,NaN,-0.06,NaN,0.57,1.3,1.69,0.34
2006,11,0.39,0.73,NaN,0.6,NaN,1.05,1.79,0.95,0.92
2006,12,-0.24,0.63,NaN,0.04,NaN,0.41,0.93,-0.32,0.24
2007,1,-1.16,0.93,0.98,0.9,NaN,2.06,2.44,1.39,1.08
2007,2,0.86,1.59,1.48,0.4,NaN,0.45,0.7,-0.94,0.65
2007,3,-0.28,-0.26,-0.48,-0.52,NaN,-1.18,-0.33,-1.95,-0.71
2007,4,-0.34,-1.04,-1,-1.37,NaN,-2.36,-0.84,-2.22,-1.31
2007,5,-1.82,-1.21,-1.13,-1.58,NaN,-3.05,-0.7,-2.42,-1.7
2007,6,-0.58,-1.44,-1.51,-2.41,NaN,-2.08,-1.16,-0.66,-1.41
2007,7,-0.9,-1.29,-1.66,-1.52,NaN,-1.42,-0.39,-0.75,-1.13
2007,8,-1.62,-1.29,-1.47,-1.69,NaN,-1.01,-0.86,-0.97,-1.27
2007,9,-1.62,-1.26,-1.83,-1.43,NaN,-0.81,-0.93,-1.32,-1.31
2007,10,-1.44,-1.6,-1.22,-1.55,NaN,-1.05,-1.5,-0.83,-1.31
2007,11,-0.21,-1.17,-1.13,-1,NaN,-1.31,-0.97,-1.5,-1.04
2007,12,-1.29,-1.67,-1.75,-1.63,NaN,-2.37,-2.32,-2.65,-1.95
2008,1,-0.5,-1.12,-1.47,-2.12,NaN,-1.72,-1.58,0.98,-1.08
2008,2,-0.61,-1.32,-0.99,-0.82,NaN,1.77,1.51,2.05,0.23
2008,3,0.31,2.6,2.07,1.82,NaN,1.87,1.96,2.51,1.88
2008,4,-2.82,-0.94,-0.72,-1.15,NaN,-1.06,-1.18,1.6,-0.9
2008,5,-1.5,-0.59,-0.54,-0.6,NaN,0.3,-0.36,0.08,-0.46
2008,6,-1.41,0.42,0.83,1.08,NaN,1.05,0.3,1.63,0.56
2008,7,-0.35,1.57,1.74,1.49,NaN,1.05,1.02,1.66,1.17
2008,8,-0.07,1.26,1.2,0.88,NaN,1.08,0.84,1.21,0.91
2008,9,-0.52,0.82,0.58,0.8,NaN,0.65,0.58,0.51,0.49
2008,10,-0.65,0.25,-0.2,-0.34,0.97,-0.14,-0.23,-1.08,-0.18
2008,11,-0.32,-0.38,-0.74,-0.75,-0.39,-0.8,-1.21,-0.71,-0.66
2008,12,-0.28,-1.4,-1.23,-1.49,-0.49,-1.16,-1.32,-1.01,-1.05
2009,1,1.46,0.37,-0.13,-1.24,0.01,-1.02,-1.27,0.25,-0.2
2009,2,-0.5,-1.52,-1.1,-2.27,-0.96,-1.68,-1.55,-0.14,-1.22
2009,3,0.92,-1.13,-0.56,-2.36,-1.15,-2.11,-2.59,-0.87,-1.23
2009,4,-0.7,-1.16,-0.12,-1.42,-0.13,-0.48,-1.06,-0.2,-0.66
2009,5,0.11,-0.22,0.62,-0.71,0.35,0.39,-0.76,0.81,0.07
2009,6,-0.08,0.64,1.6,0.06,0.77,0.6,-0.03,0.39,0.49
2009,7,0.57,1.45,1.71,0.46,0.65,0.56,0.05,0.56,0.75
2009,8,0.34,0.23,0.15,-0.01,0.74,0.55,0.1,0.63,0.34
2009,9,-0.39,0.41,0.38,0.25,1.09,0.85,0.31,0.45,0.42
2009,10,0.51,-0.28,0.07,-0.1,0.65,0.22,0.32,-0.18,0.15
2009,11,-0.85,0.16,0.66,-0.25,0.44,0.04,-0.4,0.3,0.01
2009,12,-1.88,0.48,0.9,0.58,2.8,2.68,1.12,2.38,1.13
2010,1,-1.29,3.05,2.94,2.4,4.31,3.34,2.38,1.6,2.34
2010,2,-1.25,1.61,1.4,1.76,2.33,1.22,0.17,-0.84,0.8
2010,3,-0.42,0.72,0.78,0.58,0.53,0.02,-0.51,-1.52,0.02
2010,4,-0.65,-0.08,0.33,0.24,0.76,0.42,0.26,-0.11,0.15
2010,5,-0.48,0.37,0.53,-0.11,0.78,0.43,0.03,-0.2,0.17
2010,6,-0.7,-0.23,-0.56,-0.74,-0.36,-0.44,-0.69,-0.79,-0.56
2010,7,-0.36,-1.04,-1.84,-1.96,-0.72,-0.87,-1.12,-1.46,-1.17
2010,8,-0.51,-1.44,-1.51,-1.96,-0.56,-0.83,-1.47,-1.08,-1.17
2010,9,-0.06,-1.14,-1.13,-1.93,-0.43,-0.69,-1.03,-1.07,-0.94
2010,10,-0.26,-0.96,-1.19,-1.56,-0.47,-1.07,-1.58,-2.56,-1.21
2010,11,0.73,-1.1,-1.06,-1.56,-0.6,-1.42,-1.98,-1.71,-1.09
2010,12,0.33,-1.5,-1.27,-1.99,-1.14,-1.86,-2.35,-1.57,-1.42
2011,1,-0.79,-1.76,-1.86,-2.19,-1.47,-2.09,-2.75,-1.6,-1.81
2011,2,-1.09,-1.9,-1.95,-1.93,-0.68,-0.82,-1.53,-0.26,-1.27
2011,3,-1.21,-0.44,-0.82,-1.84,-1.47,-1.68,-2.36,-1.51,-1.42
2011,4,-1.89,-1.25,-0.57,-1.45,-0.43,-0.15,-1.04,0.69,-0.76
2011,5,-0.57,0.93,1.01,0.37,1.84,1.79,0.9,0.95,0.9
2011,6,-0.48,1.84,1.13,0.82,1.88,1.2,1.16,1.59,1.14
2011,7,-0.95,0.54,-0.32,0,0.89,0.42,0.4,0.8,0.22
2011,8,-1.17,-0.11,-0.45,-0.74,0.55,0,-0.05,-0.12,-0.26
2011,9,-0.78,-0.67,-0.61,-1.48,0.26,-0.62,-0.62,0.24,-0.54
2011,10,-2.09,-0.5,-0.42,-1.16,0.05,-0.54,-0.75,-0.05,-0.68
2011,11,0,-0.26,-0.4,-0.81,0.03,-0.83,-0.61,-1.45,-0.54
2011,12,-0.43,-1,-0.8,-1.45,-0.86,-1.8,-1.79,-2.65,-1.35
2012,1,-1.09,-0.87,-0.99,-1.47,0.97,-2.18,-1.4,0.47,-0.82
2012,2,-2.33,-1.48,-0.6,-1.84,-0.21,-0.67,-0.76,1.14,-0.84
2012,3,-0.93,-0.81,-0.21,-1.31,-0.29,-1.23,-1.28,0.63,-0.68
2012,4,-0.63,0.56,1.05,0.35,0.98,0.49,0.73,1.48,0.63
2012,5,0.4,1.38,1.26,1.11,1.85,0.89,1.18,0.65,1.09
2012,6,-0.27,1.1,1.63,2.27,1.5,0.94,1.13,1.31,1.2
2012,7,0.1,1.73,1.72,1.24,1.57,0.9,1.06,1.19,1.19
2012,8,-0.53,0.23,0.25,0.09,1.18,0.03,0.77,-0.27,0.22
2012,9,-0.94,0.26,0.51,0.26,1.03,0.06,0.63,0.66,0.31
2012,10,-1.08,0.13,0.12,-0.28,0.8,-0.21,0.57,-0.57,-0.07
2012,11,-1.76,-0.22,-0.28,-0.27,0.08,-0.81,0.33,-0.6,-0.44
2012,12,-1.73,-0.24,-0.54,-1.41,-0.65,-1.65,-0.69,-1.42,-1.04
2013,1,-2.23,-1.38,-0.95,-1.26,-0.19,-1.4,-0.38,-0.23,-1
2013,2,-2.91,-1.51,-1.08,-1.46,-0.86,-2.46,-1.93,-1.13,-1.67
2013,3,-3.69,-2.42,-1.71,-2.22,-1.63,-2.67,-2.19,-0.04,-2.07
2013,4,-3.06,-2.13,-1.68,-2.4,-1.9,-2.64,-1.98,-0.85,-2.08
2013,5,-0.46,-1.32,-1.16,-1.28,-0.77,-1.61,-1.17,-1.95,-1.22
2013,6,0.54,-1.04,-1.39,-1.87,-0.91,-1.54,-0.88,-1.33,-1.05
2013,7,-0.96,-1.24,-1.79,-1.81,-0.94,-1.84,-0.99,-1.39,-1.37
2013,8,-0.7,-1.3,-1.39,-2.01,-0.2,-1.12,-0.27,-1.1,-1.01
2013,9,-0.8,-0.54,-0.5,-1,-0.07,-1.03,-0.36,-0.19,-0.56
2013,10,-1.4,-0.71,-0.92,-1.14,-0.07,-1.26,-0.51,-1.36,-0.92
2013,11,-0.71,-0.22,-0.57,-1.58,0,-0.82,0.06,0.84,-0.38
2013,12,-3.4,-1.3,-1.14,-0.81,-0.11,-0.86,0.06,-0.88,-1.06
2014,1,-1.7,-0.45,0.14,0.73,2.04,0.92,1.41,1.51,0.58
2014,2,-0.44,0.97,0.74,0.14,0.29,-1.38,-0.85,-3.1,-0.45
2014,3,-1.1,-0.96,-0.51,-1.48,-0.63,-1.97,-1.19,-2.18,-1.25
2014,4,-0.95,-0.08,-0.3,-1.56,0.02,-0.9,-1.25,0.28,-0.59
2014,5,-0.93,2.53,2.64,2.11,3.36,3.07,3.28,2.35,2.3
2014,6,0.57,2.86,3.3,2.09,3.33,2.33,2.7,2.3,2.44
2014,7,-0.1,0.39,-0.26,0.08,0.93,-0.45,0.72,0.62,0.24
2014,8,0.25,-0.4,-0.34,-0.73,0.4,-0.66,0.2,0.26,-0.13
2014,9,-0.01,-0.27,-0.32,-0.54,0.55,-0.82,-0.06,-0.15,-0.2
2014,10,0.54,-0.23,0.05,-0.21,0.48,0.06,0.29,0.87,0.23
2014,11,1,0.93,0.05,-0.28,0.76,0.03,0.11,0.11,0.34
2014,12,-1.39,-0.4,-0.76,-1.15,0.5,-0.19,-0.28,-0.78,-0.56
2015,1,-1.54,-0.42,-0.83,-0.03,1.02,0,0.26,-1.02,-0.32
2015,2,-2.85,-0.29,-0.43,0.09,0.6,-0.37,-1.02,-1.54,-0.73
2015,3,-0.79,-0.56,-0.52,-0.34,0.01,-0.28,-0.56,0.06,-0.37
2015,4,0.5,0.13,-0.01,0.73,0.79,1.5,0.84,0.77,0.66
2015,5,0.34,2.58,2.81,2.79,3.73,3.64,3.05,3.46,2.8
2015,6,0.97,3.35,3.77,3.96,4.32,3.44,3.33,2.93,3.26
2015,7,0.85,2.19,1.66,2.11,2.52,2.3,2.35,2.39,2.05
2015,8,0.41,1.62,1.33,1.18,2.26,1.8,1.69,1.56,1.48
2015,9,0.08,1.58,1.42,2.19,2.75,2.01,2.14,2.88,1.88
2015,10,-0.47,1.68,1.47,2.18,2.83,2.43,2.39,2.76,1.91
2015,11,0.31,1.83,1.63,1.65,2.67,2.36,2.34,2.63,1.93
2015,12,-0.12,2.5,2.69,1.72,3.89,3.53,3.5,4.3,2.75
2016,1,0.35,3.13,2.99,2.23,3.65,2.84,2.78,1.4,2.42
2016,2,-0.07,2.63,2.35,1.9,2.64,2.51,1.05,0.58,1.7
2016,3,-0.03,1.43,1.74,1.29,1.73,1.84,1.02,1.14,1.27
2016,4,0.35,1.43,1.41,0.85,1.43,1.97,1.38,0.67,1.19
2016,5,1.72,1.45,0.59,0.64,0.56,0.89,0.69,-0.35,0.77
2016,6,1.14,0.77,0.01,-0.47,0.04,0.08,0.18,-0.61,0.14
2016,7,0.6,0.38,-0.32,-0.23,0.1,0.2,0.28,-0.71,0.04
2016,8,1.03,0.4,0.04,-0.12,0.74,0.95,0.69,-0.27,0.43
2016,9,0.75,0.3,0.16,0.43,0.62,0.7,0.12,-0.09,0.37
2016,10,-0.8,0.6,0.46,0.52,0.92,0.85,0.17,-1.08,0.21
2016,11,1.83,0.31,0.11,0.21,-0.02,0.11,-0.35,-0.64,0.2
2016,12,3.04,-0.07,-0.43,-0.65,-0.39,-0.18,-0.66,-0.37,0.04
2017,1,0.23,-0.02,-0.27,-0.05,1.5,1.47,1.68,2.42,0.87
2017,2,0.58,2.13,2.23,3.42,5.25,5.23,4.27,4.71,3.48
2017,3,0.14,2.93,3.07,4.48,5.86,5.2,5.07,5.26,4
2017,4,0.71,1.94,1.58,1.85,1.96,1.76,1.39,1.62,1.6
2017,5,0.27,1.11,0.95,0.88,1.24,1.16,0.55,0.31,0.81
2017,6,-0.25,0.62,0.65,0.72,0.79,0.83,0.21,0.4,0.5
2017,7,0.2,0.68,0.18,0.57,0.85,0.59,-0.11,-0.01,0.37
2017,8,0.45,0.13,-0.26,-0.08,0.95,0.6,-0.14,0.07,0.22
2017,9,-0.1,-0.11,0,-0.34,1.01,0.55,0,0.06,0.13
2017,10,0.8,-0.14,-0.22,-0.91,0.3,0.13,-0.51,-0.59,-0.14
2017,11,-0.03,-0.82,-0.64,-1.21,-0.25,-0.34,-0.76,-1.23,-0.66
2017,12,-0.16,-1.3,-0.99,-1.68,-0.45,-0.88,-1.21,-1,-0.96
2018,1,-1.37,-0.6,-1.09,-2.03,-0.97,-0.95,-1.45,-0.8,-1.16
2018,2,-2.9,-1.9,-2.01,-3.23,-1.33,-1.4,-1.28,0.63,-1.68
2018,3,-1.36,-1.87,-2.33,-2.98,-2.13,-1.85,-2.02,-1.84,-2.05
2018,4,-0.21,-1.5,-1.31,-1.59,-0.76,-0.4,-0.36,-1.63,-0.97
2018,5,-0.85,-0.98,-0.78,-1.31,-0.93,-0.38,-0.61,-0.52,-0.8
2018,6,-1,-0.5,-0.78,-1.1,-0.47,-0.47,-0.42,-0.84,-0.7
2018,7,-0.16,-0.29,-0.88,-0.76,-0.01,0.07,-0.09,0.24,-0.24
2018,8,-0.09,-0.51,-0.49,-0.63,0.26,0.54,0.24,0.86,0.02
2018,9,-0.16,-0.23,-0.18,-0.26,0.47,0.14,0.11,0.76,0.08
2018,10,0.09,-0.18,0.02,-0.05,0.51,0.45,-0.46,0.1,0.06
2018,11,0.43,0.45,0.14,0.23,1.76,2.02,1.06,2.14,1.03
2018,12,0.29,1.31,1.52,1.36,2.73,2.74,0.94,1.94,1.6
2019,1,0,1.41,1.43,1.57,2.59,2.7,1.15,1.25,1.51
2019,2,-0.06,1.29,1.56,0.91,1.89,1.59,-0.21,0.7,0.96
2019,3,-0.58,-0.03,-0.14,-0.93,-0.03,0.16,-1.65,-0.52,-0.47
2019,4,0.87,0.2,0.1,-0.54,0.51,0.63,-0.47,0.6,0.24
2019,5,-0.02,0.59,0.69,0.04,,0.86,0.09,-0.11,0.31
2019,6,0.65,0.3,-0.06,-0.32,,0.08,-0.73,-0.56,-0.09
2019,7,-0.22,-0.38,-1.38,-0.82,,-0.23,-1.51,-0.04,-0.65
2019,8,0.24,-0.73,-1.17,-1.18,,-0.3,-1.66,-0.1,-0.70
2019,9,0.46,-0.21,-0.72,-0.66,,0.29,-0.91,0.81,-0.13
2019,10,-0.68,0.05,-0.32,-0.75,,0.37,-1.05,0.16,-0.32
2019,11,-0.22,-0.13,-0.17,0,,0.86,-0.64,1.55,0.18
2019,12,-0.38,0.16,0.37,1.16,,2.49,1.12,1.52,0.92
2020,1,-1.66,0.54,0.46,0.91,,2.01,0.63,0.32,0.46
2020,2,0.17,0.65,0.16,0.51,,0.31,-1.11,-0.15,0.08
2020,3,0.63,0.06,0.24,0.54,,-0.29,0.3,0.95,0.35
2020,4,,,,,,,,,
2020,5,-0.67,,0.7,,,,0.06,0.16,0.06
2020,6,0.18,-0.16,-0.28,,,-0.53,-0.34,-1.14,-0.38
2020,7,0.22,-0.83,-1.43,-1.46,,-0.71,-0.76,0.25,-0.67
